OrderID,Customer,Amount,Status,OrderDate
O0001,Bob,478.65,shipped,2025-02-10
O0002,Alice,481.53,confirmed,2025-03-14
O0003,Diana,230.68,confirmed,2025-04-21
O0004,Diana,278.81,confirmed,2025-03-26
O0006,Bob,308.72,confirmed,2025-03-10
O0007,Eve,221.16,confirmed,2025-03-22
O0009,Charlie,269.78,shipped,2025-02-21
O0010,Eve,416.44,shipped,2025-02-14
O0011,Alice,438.24,shipped,2025-02-22
O0012,Charlie,361.27,shipped,2025-02-13
O0014,Charlie,383.52,confirmed,2025-04-21
O0015,Charlie,119.23,shipped,2025-01-29
O0017,Bob,491.37,shipped,2025-04-08
O0018,Charlie,97.72,shipped,2025-04-01
O0019,Charlie,464.88,shipped,2025-02-15
O0021,Alice,147.31,confirmed,2025-01-30
O0022,Charlie,187.01,shipped,2025-02-24
O0024,Eve,484.45,confirmed,2025-03-08
O0025,Bob,307.55,confirmed,2025-04-04
O0030,Alice,157.44,shipped,2025-04-19
O0032,Bob,274.62,shipped,2025-02-23
O0034,Bob,338.59,shipped,2025-01-27
O0037,Eve,318.62,shipped,2025-02-16
O0038,Charlie,446.5,confirmed,2025-02-14
O0042,Diana,267.57,confirmed,2025-02-19
O0043,Diana,259.2,confirmed,2025-02-25
O0044,Diana,174.68,confirmed,2025-03-31
O0045,Alice,370.2,confirmed,2025-02-09
O0046,Charlie,174.25,confirmed,2025-02-20
O0047,Charlie,319.98,confirmed,2025-04-01
O0048,Charlie,406.91,shipped,2025-03-27
O0049,Bob,448.25,confirmed,2025-02-26
O0050,Diana,477.09,confirmed,2025-02-12
O0052,Diana,177.99,shipped,2025-02-03
O0057,Charlie,159.12,confirmed,2025-02-08
O0058,Bob,170.74,shipped,2025-03-27
O0059,Eve,138.46,confirmed,2025-02-15
O0061,Bob,313.7,confirmed,2025-03-10
O0062,Diana,494.58,confirmed,2025-03-11
O0064,Alice,60.97,confirmed,2025-04-01
O0066,Diana,221.1,confirmed,2025-04-05
O0069,Diana,199.28,confirmed,2025-02-25
O0071,Bob,306.24,confirmed,2025-03-13
O0072,Bob,260.79,confirmed,2025-02-23
O0074,Bob,22.51,shipped,2025-02-23
O0076,Charlie,477.84,shipped,2025-04-15
O0078,Eve,363.34,shipped,2025-02-08
O0080,Diana,13.12,confirmed,2025-04-12
O0082,Charlie,132.92,confirmed,2025-01-27
O0083,Alice,239.5,confirmed,2025-01-28
O0084,Eve,354.26,confirmed,2025-02-15
O0086,Bob,219.23,confirmed,2025-04-03
O0088,Alice,13.55,shipped,2025-03-18
O0089,Alice,450.21,confirmed,2025-03-18
O0092,Bob,124.77,confirmed,2025-04-09
O0093,Diana,319.53,confirmed,2025-02-17
O0094,Eve,93.75,shipped,2025-04-13
O0095,Alice,422.68,shipped,2025-02-05
O0096,Alice,151.45,shipped,2025-02-18
O0097,Bob,299.09,confirmed,2025-01-24
O0098,Diana,149.91,confirmed,2025-02-25
O0102,Eve,403.9,shipped,2025-01-28
O0104,Bob,446.81,shipped,2025-04-02
O0105,Diana,411.41,shipped,2025-03-24
O0106,Alice,430.96,confirmed,2025-02-01
O0107,Charlie,457.41,shipped,2025-04-12
O0108,Bob,289.74,confirmed,2025-04-07
O0113,Eve,413.33,confirmed,2025-03-12
O0114,Charlie,413.34,shipped,2025-02-26
O0115,Bob,489.32,confirmed,2025-03-20
O0116,Bob,460.99,confirmed,2025-03-01
O0117,Charlie,470.91,shipped,2025-02-08
O0120,Alice,91.22,confirmed,2025-03-27
O0121,Bob,445.18,shipped,2025-01-29
O0126,Bob,270.3,shipped,2025-02-10
O0128,Bob,21.02,shipped,2025-03-13
O0129,Alice,206.43,shipped,2025-04-21
O0132,Bob,279.65,confirmed,2025-04-11
O0135,Eve,287.49,shipped,2025-02-12
O0139,Diana,211.09,confirmed,2025-04-04
O0142,Alice,264.22,confirmed,2025-03-05
O0146,Charlie,91.34,confirmed,2025-02-23
O0148,Alice,215.11,confirmed,2025-03-18
O0149,Diana,16.57,confirmed,2025-03-09
O0151,Eve,370.51,confirmed,2025-02-19
O0154,Alice,122.97,shipped,2025-01-24
O0155,Bob,130.1,confirmed,2025-03-23
O0157,Alice,256.64,confirmed,2025-02-08
O0159,Eve,194.38,confirmed,2025-02-22
O0162,Eve,251.91,confirmed,2025-04-09
O0163,Bob,328.92,confirmed,2025-03-15
O0164,Bob,446.64,shipped,2025-03-04
O0165,Alice,336.67,confirmed,2025-04-05
O0167,Eve,91.28,shipped,2025-02-06
O0168,Eve,312.9,confirmed,2025-04-18
O0171,Diana,130.91,shipped,2025-03-10
O0172,Eve,45.62,confirmed,2025-03-03
O0173,Diana,219.54,shipped,2025-04-16
O0178,Bob,436.07,shipped,2025-02-02
O0179,Eve,277.49,confirmed,2025-03-14
O0183,Bob,487.56,shipped,2025-04-08
O0184,Eve,96.41,shipped,2025-02-01
O0185,Charlie,135.89,confirmed,2025-02-05
O0186,Charlie,223.88,shipped,2025-03-25
O0187,Diana,41.01,confirmed,2025-01-28
O0188,Bob,147.24,confirmed,2025-04-02
O0192,Bob,167.33,shipped,2025-03-08
O0193,Eve,448.89,confirmed,2025-03-16
O0199,Alice,463.75,shipped,2025-03-04
